time,buy_units,total_buy,sell_units,total_sell,initial_money
280.0,,,5.0,10754.000244140625,5719.5306396484375
281.0,,,5.0,10800.0,16519.530639648438
282.0,1.0,2149.8701171875,,,14369.660522460938
283.0,,,5.0,10674.3505859375,25044.011108398438
291.0,5.0,9421.500244140625,,,15622.510864257812
292.0,5.0,9418.75,,,6203.7608642578125
293.0,,,5.0,9769.749755859375,15973.510620117188
295.0,,,5.0,9879.149780273438,25852.660400390625
298.0,5.0,9003.049926757812,,,16849.610473632812
300.0,,,5.0,9104.299926757812,25953.910400390625
303.0,5.0,8445.750122070312,,,17508.160278320312
305.0,5.0,9150.0,,,8358.160278320312
307.0,1.0,1846.0899658203125,,,6512.0703125
309.0,,,5.0,9700.499877929688,16212.570190429688
311.0,,,5.0,9777.449951171875,25990.020141601562
312.0,5.0,9500.499877929688,,,16489.520263671875
313.0,,,5.0,9819.749755859375,26309.27001953125
314.0,,,1.0,1949.719970703125,28258.989990234375
