Date,Open,High,Low,Close,Adj Close,Volume
2020-02-06,1454.099976,1467.000000,1440.099976,1457.800049,1457.800049,7103715
2020-02-07,1451.000000,1452.349976,1428.300049,1433.650024,1433.650024,5581641
2020-02-10,1428.000000,1445.500000,1410.449951,1435.599976,1435.599976,6922631
2020-02-11,1447.400024,1466.199951,1445.050049,1452.750000,1452.750000,6400245
2020-02-12,1456.150024,1474.849976,1455.000000,1470.300049,1470.300049,6187091
2020-02-13,1477.750000,1477.750000,1462.599976,1474.150024,1474.150024,6201763
2020-02-14,1477.250000,1501.449951,1453.099976,1487.599976,1487.599976,9704655
2020-02-17,1489.000000,1506.150024,1474.300049,1478.250000,1478.250000,6011340
2020-02-18,1475.900024,1475.900024,1457.400024,1467.400024,1467.400024,5086964
2020-02-19,1479.349976,1506.449951,1475.099976,1503.800049,1503.800049,6438918
2020-02-20,1497.000000,1508.000000,1483.800049,1485.949951,1485.949951,7722577
2020-02-24,1469.750000,1477.000000,1439.550049,1444.949951,1444.949951,9769743
2020-02-25,1451.400024,1451.400024,1410.000000,1416.400024,1416.400024,12684109
2020-02-26,1410.000000,1412.349976,1387.349976,1392.000000,1392.000000,13423661
2020-02-27,1388.000000,1393.800049,1369.000000,1386.250000,1386.250000,11454300
2020-02-28,1354.900024,1357.000000,1325.000000,1328.650024,1328.650024,17973847
2020-03-02,1355.099976,1369.000000,1301.099976,1316.150024,1316.150024,13486634
2020-03-03,1329.699951,1353.900024,1322.000000,1342.849976,1342.849976,12525809
2020-03-04,1352.000000,1353.800049,1307.900024,1339.699951,1339.699951,10105782
2020-03-05,1352.199951,1357.949951,1306.000000,1311.150024,1311.150024,13948324
2020-03-06,1270.000000,1288.150024,1241.099976,1271.000000,1271.000000,15422068
2020-03-09,1240.050049,1241.000000,1095.000000,1114.150024,1114.150024,40316138
2020-03-11,1108.000000,1178.449951,1108.000000,1153.550049,1153.550049,27237321
2020-03-12,1085.000000,1101.000000,1048.699951,1063.000000,1063.000000,25587823
2020-03-13,998.000000,1140.000000,942.400024,1105.300049,1105.300049,33509107
2020-03-16,1060.550049,1079.699951,1005.000000,1015.700012,1015.700012,17592794
2020-03-17,1047.250000,1060.000000,1003.200012,1008.000000,1008.000000,20776373
